code,base,bonus,total,hire,reports,title,reportsto,fileName,firstDiff,secondDiff
"COA",26556,3384,29940,,,"","","43 Assistant Store Manager.txt",,
"COA",38094,6837,44931,,13,"","","42 Store Manager.txt",14991,
"COA",,,50580,,,"METRO MGR","","41 Area Manager.txt",5649,-9342
"COA",69630,9674,79304,,,"DM","","40 District Manager.txt",28724,23075
"COA",75000,0,75000,,,"REGIONAL MGR","","39 Regional Manager.txt",-4304,-33028
"COA",225000,50000,275000,,1300,"SR VP RETAIL","CEO","37 Top Store Operations.txt",200000,204304
