code,base,bonus,total,hire,reports,title,reportsto,fileName,firstDiff,secondDiff
"REC",18726,,18726,,,"","","43 Assistant Store Manager.txt",,
"REC",25098,1343,26441,,3200,"","","42 Store Manager.txt",7715,
"REC",,,34797,,,"AREA MGR","","41 Area Manager.txt",8356,641
"REC",44001,1861,45862,,,"DISTRICT MGR","","40 District Manager.txt",11065,2709
"REC",93700,1032,94732,,,"REGIONAL MGR","","39 Regional Manager.txt",48870,37805
"REC",260799,50000,310799,,3885,"SR VP OPS","CEO","37 Top Store Operations.txt",216067,167197
