code,base,bonus,total,hire,reports,title,reportsto,fileName,firstDiff,secondDiff
"BRO",23519,265,23784,17850,,"","","43 Assistant Store Manager.txt",,
"BRO",33450,1933,35383,,10,"","","42 Store Manager.txt",11599,
"BRO",,,47700,,,"AREA MGR","","41 Area Manager.txt",12317,718
"BRO",62300,31150,93450,,,"DM","","40 District Manager.txt",45750,33433
"BRO",95000,47500,142500,,,"RM","","39 Regional Manager.txt",49050,3300
"BRO",170000,0,170000,,1465,"SR VP","CEO","37 Top Store Operations.txt",27500,-21550
