code,base,bonus,total,hire,reports,title,reportsto,fileName,firstDiff,secondDiff
"ONE",14004,,14004,11993,,"","","43 Assistant Store Manager.txt",,
"ONE",19895,375,20270,,5,"","","42 Store Manager.txt",6266,
"ONE",,,28391,,,"AREA MGR","","41 Area Manager.txt",8121,1855
"ONE",38757,774,39531,,,"DSM","","40 District Manager.txt",11140,3019
"ONE",75415,0,75415,,,"RSM","","39 Regional Manager.txt",35884,24744
"ONE",110000,0,110000,,4370,"DR OF STORES","SR VP STORE OPS","37 Top Store Operations.txt",34585,-1299
