code,base,bonus,total,hire,reports,title,reportsto,fileName,firstDiff,secondDiff
"MAU",17255,140,17395,15000,,"","","43 Assistant Store Manager.txt",,
"MAU",24301,350,24651,,5,"","","42 Store Manager.txt",7256,
"MAU",,,25292,,,"AREA MGR","","41 Area Manager.txt",641,-6615
"MAU",43395,5121,48516,,,"REGIONAL SUPER","","40 District Manager.txt",23224,22583
"MAU",78333,13050,91383,,,"DIVISIONAL SUPERVISOR","","39 Regional Manager.txt",42867,19643
"MAU",176000,33700,209700,,4804,"VP, STORE OPS","PRESIDENT","37 Top Store Operations.txt",118317,75450
