code,base,bonus,total,hire,reports,title,reportsto,fileName,firstDiff,secondDiff
"COU",17534,0,17534,,,"","","43 Assistant Store Manager.txt",,
"COU",24156,0,24156,,9,"","","42 Store Manager.txt",6622,
"COU",,,29622,,,"AREA MGR","","41 Area Manager.txt",5466,-1156
"COU",42829,0,42829,,,"DM","","40 District Manager.txt",13207,7741
"COU",85243,0,85243,,,"RM","","39 Regional Manager.txt",42414,29207
"COU",222000,0,222000,,5856,"SR VP STORE OPS","CEO","37 Top Store Operations.txt",136757,94343
