code,base,bonus,total,hire,reports,title,reportsto,fileName,firstDiff,secondDiff
"GAN",23717,936,24653,,,"","","43 Assistant Store Manager.txt",,
"GAN",29550,2829,32379,,20,"","","42 Store Manager.txt",7726,
"GAN",,,42940,,,"DISTRICT MGR","","41 Area Manager.txt",10561,2835
"GAN",45428,2169,47597,,,"DM","","40 District Manager.txt",4657,-5904
"GAN",71757,8379,80136,,,"REGIONAL MGR","","39 Regional Manager.txt",32539,27882
"GAN",155000,0,155000,,2411,"VP STORE OPERSTIONS","CEO","37 Top Store Operations.txt",74864,42325
