code,base,bonus,total,hire,reports,title,reportsto,fileName,firstDiff,secondDiff
"PRI",15642,,15642,,,"","","43 Assistant Store Manager.txt",,
"PRI",20896,461,21357,,10,"","","42 Store Manager.txt",5715,
"PRI",,,30238,,,"ARE MGR","","41 Area Manager.txt",8881,3166
"PRI",43350,0,43350,,,"DSM","","40 District Manager.txt",13112,4231
"PRI",69964,0,69964,,,"DR OF STORES","","39 Regional Manager.txt",26614,13502
"PRI",114000,12959,126959,,1239,"VP OPS","PRES","37 Top Store Operations.txt",56995,30381
