code,base,bonus,total,hire,reports,title,reportsto,fileName,firstDiff,secondDiff
"EDD",26300,400,26700,,,"","","43 Assistant Store Manager.txt",,
"EDD",35100,700,35800,,3,"","","42 Store Manager.txt",9100,
"EDD",65400,3000,68400,,,"DM","","40 District Manager.txt",32600,23500
"EDD",109000,52700,161700,,,"DIV VP, REGIONAL MGR","","39 Regional Manager.txt",93300,60700
"EDD",200000,76800,276800,,2070,"VP, RETAIL CUSTOMER SATISFACTION & SALES","SR VP CUSTOMER SATISFACTION & SALES","37 Top Store Operations.txt",115100,21800
