code,base,bonus,total,hire,reports,title,reportsto,fileName,firstDiff,secondDiff
"CAR",14376,,14376,,,"","","43 Assistant Store Manager.txt",,
"CAR",23983,549,24532,,7,"","","42 Store Manager.txt",10156,
"CAR",44731,2581,47312,,,"DM","","40 District Manager.txt",22780,12624
"CAR",70864,3791,74655,,,"REG DR","","39 Regional Manager.txt",27343,4563
"CAR",105950,18338,124288,,2402,"VP SALES OPS","PRES","37 Top Store Operations.txt",49633,22290
