code,base,bonus,total,hire,reports,title,reportsto,fileName,firstDiff,secondDiff
"FLA",9679,9887,19566,,,"","","43 Assistant Store Manager.txt",,
"FLA",32697,3383,36080,,7,"","","42 Store Manager.txt",16514,
"FLA",49814,8879,58693,,,"DM","","40 District Manager.txt",22613,6099
"FLA",73000,14161,87161,,,"REG VP","","39 Regional Manager.txt",28468,5855
"FLA",97900,42220,140120,,4325,"VP GEN SALES MGR","VP GEN MGR","37 Top Store Operations.txt",52959,24491
