code,base,bonus,total,hire,reports,title,reportsto,fileName,firstDiff,secondDiff
"JRI",17200,,17200,14300,,"","","43 Assistant Store Manager.txt",,
"JRI",22742,0,22742,,4,"","","42 Store Manager.txt",5542,
"JRI",34800,0,34800,,,"REG MGR","","40 District Manager.txt",12058,6516
"JRI",60800,0,60800,,,"DIV S MGR","","39 Regional Manager.txt",26000,13942
"JRI",140000,,140000,,1500,"GEN S MGR","PRES","37 Top Store Operations.txt",79200,53200
