code,base,bonus,total,hire,reports,title,reportsto,fileName,firstDiff,secondDiff
"SCA",13200,900,14100,,,"","","43 Assistant Store Manager.txt",,
"SCA",12900,,12900,,,"","","43 Assistant Store Manager.txt",-1200,
"SCA",19900,1000,20900,,8,"","","42 Store Manager.txt",8000,9200
"SCA",16800,,16800,,4,"","","42 Store Manager.txt",-4100,-12100
"SCA",35400,0,35400,,,"DM","","40 District Manager.txt",18600,22700
"SCA",67000,0,67000,,,"REG MGR","","39 Regional Manager.txt",31600,13000
"SCA",118900,0,118900,,2579,"DR STORE OPS","DIV PRES","37 Top Store Operations.txt",51900,20300
