code,AsstStoreMgr,StoreMgr,AreaMgr,DistrictMgr,RegionalMgr,TopStoreOps
"BRO",12.95,36598,54276,73164,115301,212979
"CAM",8.58,30326,35033,53606,98300,247500
"COU",8.81,29869,37999,53724,78083,124800
"DRE",8.61,26746,31775,41525,72800,212000
"FRE",6.1,29300,26700,44200,81200,187500
"GAN",11.68,32735,42685,51112,90000,225000
"GEN",11.3,20400,27747,54800,168400,173250
"MAU",8.88,26350,34700,48900,93200,219000
"ONE",6.89,20489,23382,38365,85938,121668
"WAL",8.53,27100,40150,49360,135000,465000
