code,AsstStoreMgr,StoreMgr,DistrictMgr,RegionalMgr,TopStoreOps
"AME",10.05,30074,54284,91295,170000
"BIL",5.44,18422,38976,76600,132500
"BOM",9.37,30448,54840,89500,182000
"BRI",11.3,35593,58650,76216,200000
"CAR",7.57,26463,50057,79189,128146
"CHR",7.67,31825,43700,95700,379800
"CMA",8.74,27000,46200,72100,140000
"DEB",7.08,21480,30223,47700,70000
"EDD",13.15,37301,81500,201128,401700
"FAM",7.73,26608,44978,79769,175000
"JLI",6.94,18600,43900,77300,126500
"LEC",9.62,31988,52454,136900,234200
"LIZ",12.97,46542,64550,105000,152500
"PET",7.35,25942,52553,285000,225000
"POT",13.53,40476,65298,113000,185000
"SIZ",7.36,23297,48917,107962,190000
"TAL",13.09,39143,67388,114019,185750
"WMS",11.46,34231,61617,123900,266000
"WOO",8.9,39168,70158,109952,164932
