"","Code","Structure","Stores","Volume"
"1",1,0,120,1.36e+08
"2",2,0,302,2.59e+08
"3",3,1,180,239800000
"4",4,0,180,192500000
"5",5,0,456,256900000
"6",6,0,698,5.8e+08
"7",7,0,115,161100000
"8",8,0,2300,1.2e+09
"9",9,0,265,1.7e+08
"10",10,0,111,134300000
"11",11,1,581,395700000
