"","Code","Structure","Stores","Volume"
"1",1,1,336,405700000
"2",2,1,214,161600000
"3",3,1,97,93591504
"4",4,1,373,176700000
"5",5,0,773,5e+08
"6",6,0,640,9.21e+08
"7",7,1,68,4.57e+08
"8",8,1,466,876900000
"9",9,1,567,1.8e+09
"10",10,1,812,849900000
"11",11,1,1160,1.1e+09
"12",12,0,550,6.07e+08
"13",13,0,2610,2.6e+09
"14",14,1,275,2.32e+08
"15",15,1,871,264900000
"16",16,1,615,445300000
"17",17,1,187,8e+08
"18",18,1,603,1.054e+09
"19",19,0,902,968200000
"20",20,1,173,502500000
