"","Code","Stores","Volume","Employees","AsstToStoreVSStoreToDist","StoreToDistVSDistToReg","DistToRegVSRegToTop","avgNZNA"
"1","AME",336,405700000,6353,14203,38727,108756,53895.3333333333
"2","BOD",214,161600000,1720,13064.8,10500,65600,29721.6
"3","BRI",97,93591504,1386,21958.2,6313,85185,37818.7333333333
"4","CAR",373,176700000,3262,11014.24,7612.46,19982.32,12869.6733333333
"5","CAS",773,5e+08,8397,18905,28745,-7765,13295
"6","CHA",640,9.21e+08,7553,-5154,-16247,151032,43210.3333333333
"7","CRB",68,4.57e+08,4497,9657.6,20700,122000,50785.8666666667
"8","DIS",466,876900000,13890,16598.4,8600,57000,27399.4666666667
"9","EDD",567,1.8e+09,5857,34301.2,26764,66234,42433.0666666667
"10","FAM",812,849900000,8786,9979.2,18808,76623,35136.7333333333
"11","FAS",1160,1.1e+09,15000,6372,35900,12600,18290.6666666667
"12","FOA",550,6.07e+08,7596,25104.2,-1958,128200,50448.7333333333
"13","FOO",2610,2.6e+09,23708,774.400000000001,14491,-8570,2231.8
"14","GAD",275,2.32e+08,2925,1393.2,31449,101800,44880.7333333333
"15","JBI",871,264900000,2877,22108.8,9950,15100,15719.6
"16","LEC",615,445300000,6539,12296.8,51968,31900,32054.9333333333
"17","LIN",187,8e+08,7532,18478.4,108136,17400,48004.8
"18","TAL",603,1.054e+09,9132,16452.4,11394,62420,30088.8
"19","WAL",902,968200000,9000,14820.8,64200,-48100,10306.9333333333
"20","WMS",173,502500000,4548,16747.8,23367,5329,15147.9333333333
