"","Code","Structure","Stores","Volume"
"1",1,0,120,1.36e+08
"2",2,0,302,2.59e+08
"3",3,1,180,239800000
"4",4,0,180,192500000
"5",5,0,456,256900000
"6",6,0,698,5.8e+08
"7",7,0,115,161100000
"8",8,0,2300,1.2e+09
"9",9,0,265,1.7e+08
"10",10,0,111,134300000
"11",11,1,581,395700000
"12",1,1,336,405700000
"13",2,1,214,161600000
"14",3,1,97,93591504
"15",4,1,373,176700000
"16",5,0,773,5e+08
"17",6,0,640,9.21e+08
"18",7,1,68,4.57e+08
"19",8,1,466,876900000
"20",9,1,567,1.8e+09
"21",10,1,812,849900000
"22",11,1,1160,1.1e+09
"23",12,0,550,6.07e+08
"24",13,0,2610,2.6e+09
"25",14,1,275,2.32e+08
"26",15,1,871,264900000
"27",16,1,615,445300000
"28",17,1,187,8e+08
"29",18,1,603,1.054e+09
"30",19,0,902,968200000
"31",20,1,173,502500000
