code,base,bonus,total,hire,reports,title,reportsto,fileName,firstDiff,secondDiff
"GEN",16663,3443,20106,,,"","","43 Assistant Store Manager.txt",,
"GEN",17915,3005,20920,,5,"","","42 Store Manager.txt",814,
"GEN",,,25857,,,"SR STORE MGR","","41 Area Manager.txt",4937,4123
"GEN",42537,0,42537,,,"REG SALES MGR","","40 District Manager.txt",16680,11743
"GEN",102969,31381,134350,,,"DIV VP","","39 Regional Manager.txt",91813,75133
"GEN",143997,15600,159597,,8000,"VP STORE OPS","PRES OF RETAIL","37 Top Store Operations.txt",25247,-66566
