code,base,bonus,total,hire,reports,title,reportsto,fileName,firstDiff,secondDiff
"FAM",15412,52,15464,,,"","","43 Assistant Store Manager.txt",,
"FAM",24454,607,25061,,10,"","","42 Store Manager.txt",9597,
"FAM",,,32634,,,"AREA STORE MGR","","41 Area Manager.txt",7573,-2024
"FAM",46313,1992,48305,,,"DSM","","40 District Manager.txt",15671,8098
"FAM",80000,4849,84849,,,"REG SALES MGR","","39 Regional Manager.txt",36544,20873
"FAM",175000,35000,210000,,7156,"SR VP","PRES","37 Top Store Operations.txt",125151,88607
