code,base,bonus,total,hire,reports,title,reportsto,fileName,firstDiff,secondDiff
"CAT",14750,500,15250,9880,,"","","43 Assistant Store Manager.txt",,
"CAT",22667,2000,24667,,10,"","","42 Store Manager.txt",9417,
"CAT",,,32617,,,"DM IN TRAINING","","41 Area Manager.txt",7950,-1467
"CAT",37829,3500,41329,,,"DM","","40 District Manager.txt",8712,762
"CAT",78500,0,78500,,,"REG VP-STORE OPS","","39 Regional Manager.txt",37171,28459
"CAT",208000,0,208000,,6000,"EVP-COO","PRES","37 Top Store Operations.txt",129500,92329
