code,stores,volume,employees,AsstStoreMgr,StoreMgr,DistrictMgr,RegionalMgr,TopStoreOps
"AME",336,4.057e+08,6353,10.55,34208,60675,125869,299819
"BOD",214,1.616e+08,1720,9.31,29200,52100,85500,184500
"BRI",97,93591504,1386,14.49,36683,65185,100000,220000
"CAR",373,1.767e+08,3262,8.14,28864.66,51812.36,82372.52,132915
"CAS",773,5.000e+08,8397,10.75,30160,56865,112315,160000
"CHA",640,9.210e+08,7553,10.25,42721,58968,58968,210000
"CRB",68,4.570e+08,4497,13.97,44200,69000,114500,282000
"DIS",466,8.769e+08,13890,14.23,38200,63400,97200,188000
"EDD",567,1.800e+09,5857,13.14,37332,81634,152700,290000
"FAM",812,8.499e+08,8786,8.34,29050,50732,91222,208335
"FAS",1160,1.100e+09,15000,8.4,28600,46100,99500,165500
"FOA",550,6.070e+08,7596,9.84,28372,61381,92432,251683
"FOO",2610,2.600e+09,23708,9.83,38901,58130,91850,117000
"GAD",275,2.320e+08,2925,8.89,31649,46200,92200,240000
"JBI",871,2.649e+08,2877,7.36,19150,45100,81000,132000
"LEC",615,4.453e+08,6539,8.91,27818,49400,122950,228400
"LIN",187,8.000e+08,7532,17.38,48336,79000,217800,374000
"TAL",603,1.054e+09,9132,13.48,40200,68814,108822,211250
"WAL",902,9.682e+08,9000,8.76,27300,51200,139300,179300
"WMS",173,5.025e+08,4548,11.86,35425,62929,113800,170000
