"","Code","Structure","Stores","Volume"
"1",1,0,144,185018184
"2",2,0,375,450721171.9
"3",3,0,675,468668109.4
"4",4,0,89,NA
"5",5,0,750,818854218.8
"6",6,0,764,610755829.5
"7",7,0,620,601746580
"8",8,0,114,191321739.8
"9",9,0,1600,843404300
"10",10,0,669,476675921.8
"11",11,0,170,NA
"12",12,0,675,311443755.5
"13",13,1,150,61108401.56
"14",14,1,504,NA
"15",1,1,333,267440625
"16",2,0,457,235332064.3
"17",3,1,377,339909467.6
"18",4,0,90,104284541.3
"19",5,1,353,157026975.6
"20",6,0,503,723848437.5
"21",7,1,400,209422225
"22",8,1,335,1042531139
"23",9,1,615,NA
"24",10,1,1544,1538084261
"25",11,1,2229,1442341320
"26",12,1,370,295511553.8
"27",13,0,551,NA
"28",14,1,824,1017749283
"29",15,1,643,453059407.5
"30",16,1,118,168254916.8
"31",17,1,207,470454540.8
"32",18,0,1220,1610394663
"33",19,1,168,NA
"34",20,1,528,466881030
"35",21,1,77,235939627
"36",22,0,100,NA
"37",23,0,1100,NA
"38",24,1,216,NA
"39",25,0,795,980844168.8
"40",26,1,451,721600000
"41",27,1,179,548483029
