"","Code","Stores","Volume","Employees","AsstToStoreVSStoreToArea","StoreToAreaVSAreaToDist","AreaToDistVSDistToReg","DistToRegVSRegToTop","avgNZ"
"1","BRO",165,2.12e+08,1974,8016,1210,23249,55541,22004
"2","CAM",312,3.75e+08,3500,-7772.6,13866,26121,104506,34180.1
"3","COU",493,538300000,5681,-3414.2,7595,8634,22358,8793.2
"4","DRE",688,5.5e+08,6850,-3808.2,4721,21525,107925,32590.7
"5","FRE",204,1.55e+08,1300,-19212,20100,19500,69300,22422
"6","GAN",115,1.93e+08,2212,1509.4,-1523,30461,96112,31639.85
"7","GEN",1880,9.91e+08,11000,10451,19706,86547,-108750,1988.5
"8","MAU",623,443900000,5076,470.400000000001,5850,30100,81500,29480.1
"9","ONE",648,2.99e+08,5474,-3264.8,12090,32590,-11843,7393.05
"10","WAL",928,979700000,18352,3692.4,-3840,76430,244360,80160.6
