"","Code","Structure","Stores","Volume"
"1",1,1,314,326400000
"2",2,1,452,232800000
"3",3,1,373,336300000
"4",4,0,106,122800000
"5",5,1,372,165500000
"6",6,0,1135,1.2e+09
"7",7,1,450,235600000
"8",8,1,276,2e+08
"9",9,1,482,1.5e+09
"10",10,1,805,781300000
"11",11,1,937,277300000
"12",12,1,478,336800000
"13",13,0,113,161100000
"14",14,0,311,2.75e+08
"15",15,1,265,8.12e+08
"16",16,1,557,363100000
"17",17,1,500,8e+08
"18",18,1,265,8.12e+08
"19",19,1,3012,3.115e+09
