code,base,bonus,total,hire,reports,title,reportsto,fileName,firstDiff,secondDiff
"MUS",16657,,16657,14768,,"","","43 Assistant Store Manager.txt",,
"MUS",23862,743,24605,,6,"","","42 Store Manager.txt",7948,
"MUS",45078,1946,47024,,,"DISTRICT MGR","","40 District Manager.txt",22419,14471
"MUS",91552,1784,93336,,,"REGIONAL DR","","39 Regional Manager.txt",46312,23893
"MUS",105000,8136,113136,,2800,"VP - SUNCOAST STORES","DIVISIONAL PRES - SUNCOAST STORES","37 Top Store Operations.txt",19800,-26512
