code,base,bonus,total,hire,reports,title,reportsto,fileName,payGap
"GAP",100000,6000,106000,,,"SR DR CONSTRUC","","06 Regional Store Construct.txt",
"GAP",210000,20000,230000,,80,"VP RE","SR VP RE","05 Top Store Plan_Construct.txt",124000
"GAP",187000,14200,201200,,,"VP RE","","04 Regional Real Estate.txt",-28800
"GAP",336000,38500,374500,,150,"SR VP RE","CEO","03 Top Real Estate.txt",173300
"GAP",285000,30000,315000,,30,"SR VP GEN COUNSEL","","02 General Counsel.txt",-59500
"GAP",1800000,314100,2114100,,45000,"CEO","BD OF DR","01 CEO.txt",1799100
